USERID,r_score,f_score,m_score,rfm_wscore,rfm_comb
51220,4,1,1,2.8,411
51221,2,1,1,1.6,211
51224,3,1,1,2.1999999999999997,311
51225,4,1,1,2.8,411
51226,1,1,1,0.9999999999999999,111
51227,2,1,1,1.6,211
51229,3,1,1,2.1999999999999997,311
51230,1,1,1,0.9999999999999999,111
51231,3,1,1,2.1999999999999997,311
51232,5,1,1,3.4,511
51235,1,1,1,0.9999999999999999,111
51243,4,1,1,2.8,411
51244,5,1,1,3.4,511
51245,4,1,1,2.8,411
51246,4,1,1,2.8,411
51248,3,1,1,2.1999999999999997,311
51250,4,1,1,2.8,411
51251,5,1,1,3.4,511
51255,5,1,1,3.4,511
51258,1,1,1,0.9999999999999999,111
51259,5,1,1,3.4,511
51260,3,1,1,2.1999999999999997,311
51263,4,1,1,2.8,411
51264,4,1,1,2.8,411
51267,5,1,1,3.4,511
51273,4,1,1,2.8,411
51274,5,1,1,3.4,511
51275,2,1,1,1.6,211
51277,1,1,1,0.9999999999999999,111
51278,4,1,1,2.8,411
51279,4,1,1,2.8,411
51280,3,1,1,2.1999999999999997,311
51281,1,1,1,0.9999999999999999,111
51284,5,1,1,3.4,511
51285,3,1,1,2.1999999999999997,311
51286,2,1,1,1.6,211
51287,5,1,1,3.4,511
51291,4,1,1,2.8,411
51293,4,1,1,2.8,411
51294,5,1,1,3.4,511
51298,5,2,1,3.7,521
51299,4,1,1,2.8,411
51300,3,1,1,2.1999999999999997,311
51301,3,1,1,2.1999999999999997,311
51303,4,1,1,2.8,411
51304,5,1,1,3.4,511
51308,3,1,1,2.1999999999999997,311
51311,5,1,1,3.4,511
51313,1,1,1,0.9999999999999999,111
51315,2,1,1,1.6,211
51317,5,1,1,3.4,511
51318,4,1,1,2.8,411
51322,5,1,1,3.4,511
51323,4,1,1,2.8,411
51324,1,1,1,0.9999999999999999,111
51327,3,1,1,2.1999999999999997,311
51328,5,1,1,3.4,511
51331,1,1,1,0.9999999999999999,111
51334,5,1,1,3.4,511
51341,5,1,1,3.4,511
51342,4,1,1,2.8,411
51344,5,1,1,3.4,511
51346,5,1,1,3.4,511
51347,5,1,1,3.4,511
51348,5,1,1,3.4,511
