dm_sendTime,dm_time,dm_userId,dm_color,dm_mode,dm_fontSize,dm_text
2019-07-27 23:59:58,0:01:06.232000,1496c48e,"(255, 255, 255)",1,25,百万字助攻
2019-07-27 23:59:45,0:00:52.414000,1496c48e,"(255, 255, 255)",1,25,百万助攻
2019-07-27 23:59:40,0:01:56.006000,36e1b06c,"(231, 0, 18)",1,25,塔库拉玛塔塔？
2019-07-27 23:59:12,0:00:03.341000,a03751ba,"(255, 255, 255)",1,25,封面有炮姐？
2019-07-27 23:59:08,0:00:52.961000,e64fe519,"(255, 255, 255)",1,25,～
2019-07-27 23:58:51,0:00:09.849000,9dd5b3d7,"(255, 255, 255)",1,25,flower dance
2019-07-27 23:58:44,0:01:21.960000,b9e9ab80,"(255, 255, 255)",1,25,哭哭
2019-07-27 23:58:26,0:03:31.241000,1efdb475,"(231, 0, 18)",5,25,真的泪目了
2019-07-27 23:58:26,0:01:37.720000,c9a578e0,"(254, 241, 2)",5,25,硬核没头脑
2019-07-27 23:58:05,0:01:04.521000,b84476d5,"(255, 255, 255)",1,25,最怕鬼畜突然感动
2019-07-27 23:57:55,0:01:26.028000,c9a578e0,"(254, 241, 2)",5,25,喵内，明日非洲，某炮
2019-07-27 23:57:44,0:01:11.805000,7f107824,"(231, 0, 18)",1,25,直到有人
2019-07-27 23:57:44,0:00:08.417000,ca1b5968,"(255, 255, 255)",1,25,最怕鬼畜动了真感情
2019-07-27 23:57:27,0:02:30.270000,5d4be482,"(0, 160, 234)",5,25,坚持做自己喜欢的事情
2019-07-27 23:56:49,0:00:10.501000,e9720a33,"(255, 255, 255)",1,25,卧槽 哭
2019-07-27 23:56:35,0:03:16.991000,5de30ad3,"(255, 255, 255)",1,25,是不是我没把你照顾好
2019-07-27 23:56:34,0:02:44.566000,8dec797c,"(255, 255, 255)",1,25,做人处事圆滑了
2019-07-27 23:56:13,0:03:12.822000,522c2f1f,"(255, 255, 255)",1,25,泪目
2019-07-27 23:56:06,0:02:07.043000,ace4fee8,"(255, 255, 255)",1,25,泪目
2019-07-27 23:56:05,0:03:04.863000,522c2f1f,"(255, 255, 255)",1,25,首尾呼应
2019-07-27 23:55:50,0:03:19.029000,8ae72545,"(255, 255, 255)",1,25,泪目
2019-07-27 23:55:44,0:01:10.273000,f51fd30,"(255, 255, 255)",1,25,泪目
2019-07-27 23:55:39,0:02:37.308000,59ef7791,"(255, 255, 255)",1,25,泪目
2019-07-27 23:55:35,0:02:47.293000,422187c9,"(255, 255, 255)",1,25,woc我怎么泪目了？？？
2019-07-27 23:55:35,0:00:07.723000,659e2868,"(255, 255, 255)",1,25,JOJO
